# n m
 354 114
# job ptime rdate deadline
 1 146 6136 6195
 2 110 5563 5622
 3 69 5494 5553
 4 69 3906 3965
 5 133 5661 5720
 6 113 6577 6636
 7 44 1759 1818
 8 98 1726 1866
 9 216 2843 2902
 10 82 6672 6731
 11 38 528 587
 12 110 277 336
 13 101 1239 1298
 14 77 1162 1221
 15 139 1136 1195
 16 104 1567 1771
 17 74 3290 3349
 18 49 2914 2973
 19 111 6950 7009
 20 122 6236 6295
 21 60 2354 2413
 22 38 2777 2836
 23 88 6862 6921
 24 49 1340 1399
 25 95 579 638
 26 45 1777 1836
 27 113 6079 6138
 28 38 1011 1070
 29 58 3220 3279
 30 33 6204 6263
 31 107 5950 6009
 32 185 3059 3118
 33 33 6192 6251
 34 57 1720 1779
 35 124 1607 1666
 36 79 6057 6116
 37 140 7061 7120
 38 97 6734 6793
 39 82 7096 7155
 40 91 4062 4121
 41 74 3840 3899
 42 49 1731 1790
 43 121 6026 6085
 44 53 6524 6583
 45 46 5335 5394
 46 120 331 390
 47 66 1403 1462
 48 53 6471 6530
 49 91 1187 1246
 50 58 953 1012
 51 88 4678 5522
 52 89 753 812
 53 54 970 1029
 54 108 6754 6813
 55 161 1124 1183
 56 71 1729 1788
 57 78 2326 2385
 58 67 2508 2567
 59 131 440 499
 60 148 125 184
 61 39 1415 1475
 62 116 1295 1354
 63 156 1282 1982
 64 40 1318 1377
 65 96 1195 1254
 66 179 1064 1442
 67 75 667 726
 68 148 2046 2391
 69 59 2452 2511
 70 38 2304 2363
 71 71 2336 2395
 72 100 2013 2072
 73 58 1694 1753
 74 82 1803 1862
 75 60 2090 2149
 76 65 2631 2690
 77 110 2511 2570
 78 95 2505 2564
 79 140 2536 2744
 80 173 2602 2661
 81 86 3125 3184
 82 30 474 533
 83 44 1796 1855
 84 134 1342 1401
 85 74 509 568
 86 48 758 817
 87 145 1066 1125
 88 147 1282 1341
 89 117 1165 1224
 90 203 1748 1807
 91 147 1517 1576
