# n m
 69 9
# job ptime rdate deadline
 1 126 1899 1958
 2 87 1383 1614
 3 104 3787 3846
 4 100 689 1861
 5 93 4142 4379
 6 121 2142 2186
 7 97 2233 2270
 8 103 4232 4404
 9 114 2950 3093
 10 136 2850 3005
 11 104 1698 1945
 12 93 4220 4447
 13 116 2691 2802
 14 116 2609 2768
 15 172 407 2900
 16 153 3891 4201
 17 99 2419 2496
 18 108 4575 4837
 19 144 2680 2739
 20 102 3936 3995
 21 116 2303 2362
 22 109 2430 2711
 23 104 2404 2621
 24 88 2894 3085
 25 104 2824 3002
 26 111 2773 2933
 27 137 749 2336
 28 109 3127 4995
 29 119 1443 1502
 30 101 2072 2239
 31 107 2308 2543
 32 100 2350 2523
 33 106 4193 4460
 34 105 4701 4907
 35 121 2140 2199
 36 114 1917 2134
 37 99 1990 2049
 38 106 4074 4324
 39 116 3996 4276
 40 130 1886 2071
 41 129 1598 1720
 42 117 1903 2160
 43 121 1711 1800
 44 116 2564 2623
 45 100 2331 2599
 46 113 3030 3127
 47 167 555 1855
 48 104 3181 3240
 49 93 2297 2447
 50 121 2319 2677
 51 90 2278 2477
 52 157 511 2058
 53 30 2761 2820
 54 51 1318 1377
 55 234 67 1947
 56 76 201 2368
 57 181 1 1486
 58 48 253 312
 59 37 2414 2473
 60 111 569 637
 61 87 4647 4891
 62 147 955 1309
 63 162 1074 1729
 64 112 4772 4934
 65 57 1541 1600
 66 172 1149 1648
 67 73 1310 1369
 68 105 1436 1495
 69 31 1412 1471
